name,province,city,district,address,description,tags,rating,crowdLevel,avgCost,suggestedDuration,bestSeason,transportInfo,latitude,longitude,imageUrl,isNationalKeyVillage,batch,source,accommodationTips,diningTips,routeHighlights
霞浦东壁村,福建省,宁德市,霞浦县,三沙镇东壁村,以滩涂日落和海边乡村风光著称 摄影需求明显,摄影|自然风光|情侣|自驾,4.7,3,420,2天,春|夏|秋,建议自驾串联三沙和东壁一线,,,https://images.unsplash.com/photo-1500375592092-40eb2168fd21,false,seed-2026-q1,manual_seed,东壁观海民宿,海味小馆,滩涂日落|沿海步道|摄影机位
平潭北港村,福建省,福州市,平潭综合实验区,流水镇北港村,石头厝 海风和文创小店结合 适合青年群体拍照打卡,摄影|美食|自驾|自然风光,4.5,3,350,1-2天,春|夏|秋,福州方向自驾方便 适合环岛路线,,,https://images.unsplash.com/photo-1472396961693-142e6e269027,false,seed-2026-q1,manual_seed,北港海边小院,平潭小海鲜,石头厝|海边栈道|蓝眼泪季节活动
贵州肇兴侗寨,贵州省,黔东南苗族侗族自治州,黎平县,肇兴镇肇兴村,侗族文化氛围浓厚 鼓楼群与寨门完整 适合非遗民俗体验,非遗民俗|文化体验|摄影|亲子,4.8,3,340,2天,春|秋|冬,高铁到从江站后可转乘景区交通,25.807,108.609,https://images.unsplash.com/photo-1465146344425-f00d5f5c8f07,true,seed-2026-q1,manual_seed,侗寨鼓楼客栈,侗家酸汤馆,鼓楼群|寨门夜景|侗族大歌
西江千户苗寨周边村落,贵州省,黔东南苗族侗族自治州,雷山县,西江镇,适合体验苗族文化 夜景和节庆活动 商业化程度相对更高,非遗民俗|摄影|文化体验|美食,4.6,5,460,2天,春|夏|秋,贵阳 凯里方向均可公共交通抵达,26.499,108.131,https://images.unsplash.com/photo-1500534623283-312aade485b7,true,seed-2026-q1,manual_seed,山谷吊脚楼客栈,苗寨长桌宴,观景台|长桌宴|苗寨夜景
荔波瑶山古寨,贵州省,黔南布依族苗族自治州,荔波县,瑶山瑶族乡,依托瑶族文化和喀斯特自然环境 适合文化体验和避暑,避暑|非遗民俗|自然风光|安静,4.5,2,280,1天,夏|秋,适合与荔波小七孔串联游玩,,,https://images.unsplash.com/photo-1505761671935-60b3a7427bad,false,seed-2026-q1,manual_seed,瑶寨山居民宿,瑶家土灶,瑶族迎宾|山谷溪流|民族手作
云南沙溪古镇周边村落,云南省,大理白族自治州,剑川县,沙溪镇,适合安静慢游 古镇漫步和西南风物体验,安静|文化体验|摄影|情侣,4.8,2,480,2天,春|秋|冬,建议自驾或大理出发包车前往,26.317,99.847,https://images.unsplash.com/photo-1493558103817-58b2924bce98,true,seed-2026-q1,manual_seed,沙溪戏台边客栈,白族小馆,古戏台|玉津桥|古道集市
元阳阿者科村,云南省,红河哈尼族彝族自治州,元阳县,新街镇阿者科村,哈尼梯田与蘑菇房结合 适合摄影和文化体验,摄影|文化体验|自然风光|非遗民俗,4.7,2,320,1-2天,冬|春,建议自驾或跟随摄影线路进入,,,https://images.unsplash.com/photo-1493246507139-91e8fad9978e,true,seed-2026-q1,manual_seed,梯田观景客栈,哈尼土灶,梯田日出|蘑菇房|哈尼村寨步道
建水团山村,云南省,红河哈尼族彝族自治州,建水县,西庄镇团山村,滇南传统民居保存较好 适合建筑爱好者与家庭出游,古村落|亲子|文化体验|低预算,4.4,2,210,1天,春|秋|冬,建水县城可自驾前往 适合与小火车线路搭配,,,https://images.unsplash.com/photo-1482192596544-9eb780fc7f66,true,seed-2026-q1,manual_seed,团山古宅宿,建水风味小馆,古民居|门楼建筑|村口水塘
大理喜洲古镇周边村落,云南省,大理白族自治州,大理市,喜洲镇,白族风情浓厚 适合亲子 情侣和美食体验,美食|亲子|文化体验|摄影,4.7,3,390,1-2天,春|夏|秋,环洱海自驾或骑行均可到达,25.999,100.153,https://images.unsplash.com/photo-1494783367193-149034c05e8f,false,seed-2026-q1,manual_seed,喜洲白族院落,破酥粑粑铺,白族民居|稻田骑行|喜洲古街
广西阳朔兴坪古镇周边村落,广西壮族自治区,桂林市,阳朔县,兴坪镇,适合山水摄影 竹筏体验和周末自驾线路,自然风光|摄影|自驾|情侣,4.7,4,430,2天,春|夏|秋,桂林或阳朔方向包车 自驾都较方便,24.92,110.494,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,false,seed-2026-q1,manual_seed,漓江山景客栈,阳朔家常菜,漓江竹筏|20元背景观景点|古镇夜景
龙脊平安寨,广西壮族自治区,桂林市,龙胜各族自治县,和平乡平安村,梯田与壮寨村落结合 适合徒步 摄影和亲子自然教育,摄影|亲子|自然风光|避暑,4.6,3,360,1-2天,春|夏|秋,建议自驾或从桂林包车进入景区,,,https://images.unsplash.com/photo-1470770841072-f978cf4d019e,true,seed-2026-q1,manual_seed,梯田山居民宿,壮乡灶台,梯田步道|山顶观景台|壮寨民居
湖南张家界协合乡周边村落,湖南省,张家界市,武陵源区,协合乡,适合与张家界景区联动的乡村休闲路线 空气清新 适合避暑,避暑|自然风光|自驾|亲子,4.4,2,300,1天,夏|秋,适合自驾或景区周边短途包车,,,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,false,seed-2026-q1,manual_seed,山谷民宿,湘西土菜馆,山谷溪流|村口田野|观景平台
凤凰竹山村,湖南省,湘西土家族苗族自治州,凤凰县,廖家桥镇竹山村,苗乡村落氛围浓厚 适合非遗民俗和银饰体验,非遗民俗|文化体验|摄影|低预算,4.5,2,220,1天,春|秋,可与凤凰古城形成半日到一日联动路线,,,https://images.unsplash.com/photo-1510798831971-661eb04b3739,true,seed-2026-q1,manual_seed,苗寨客栈,苗家长桌宴,银饰工坊|苗寨巷道|民族表演
广东开平塘口镇自力村,广东省,江门市,开平市,塘口镇自力村,碉楼与乡村田野相结合 适合自驾和侨乡建筑体验,自驾|摄影|文化体验|亲子,4.6,3,280,1天,秋|冬|春,广州 佛山 珠海方向自驾较方便,22.379,112.565,https://images.unsplash.com/photo-1469474968028-56623f02e42e,true,seed-2026-q1,manual_seed,碉楼边客栈,侨乡味道,碉楼群|稻田步道|侨乡骑楼
清远连州丰阳古村,广东省,清远市,连州市,丰阳镇,适合岭南古村体验和周末低预算游,古村落|低预算|文化体验|安静,4.3,2,180,1天,春|秋|冬,建议自驾 连州城区可作为住宿补给点,,,https://images.unsplash.com/photo-1482192596544-9eb780fc7f66,false,seed-2026-q1,manual_seed,古村驿站,连州农味馆,古祠堂|古街巷|稻田边界
四川丹巴甲居藏寨,四川省,甘孜藏族自治州,丹巴县,章谷镇甲居村,藏寨与山谷景观一体 适合自驾和民族风情体验,摄影|自驾|文化体验|自然风光,4.7,3,420,2天,春|秋,建议川西自驾环线串联,30.877,101.9,https://images.unsplash.com/photo-1501785888041-af3ef285b470,true,seed-2026-q1,manual_seed,藏寨观景民宿,藏味土火锅,藏寨全景|山谷步道|藏式民居
成都明月村,四川省,成都市,蒲江县,甘溪镇明月村,结合茶田 陶艺与乡创空间 适合城市周边周末微度假,亲子|自驾|文化体验|安静,4.5,2,260,1天,春|秋|冬,成都自驾约1.5小时 适合当天往返,,,https://images.unsplash.com/photo-1493558103817-58b2924bce98,false,seed-2026-q1,manual_seed,茶田民宿,村口茶食堂,陶艺工坊|茶田步道|乡创书店
山东烟台养马岛后海渔村,山东省,烟台市,牟平区,养马岛旅游度假区周边,海边渔村节奏慢 适合夏季自驾 拍照和轻美食体验,自驾|摄影|美食|自然风光,4.4,3,360,1-2天,夏|秋,烟台市区自驾便利 适合环海路线,,,https://images.unsplash.com/photo-1500375592092-40eb2168fd21,false,seed-2026-q1,manual_seed,海边小院,渔村海鲜排档,后海栈道|日落礁石|渔村早餐
河南郏县临沣寨,河南省,平顶山市,郏县,堂街镇临沣寨村,中原地区寨堡式村落代表 适合低预算文化体验,古村落|文化体验|低预算|安静,4.2,1,150,1天,春|秋,建议自驾 适合周边城市一日游,,,https://images.unsplash.com/photo-1510798831971-661eb04b3739,true,seed-2026-q1,manual_seed,县城商务酒店,郏县面馆,寨墙遗存|古巷院落|村史展示
山西平遥梁村,山西省,晋中市,平遥县,岳壁乡梁村,晋商院落和乡村肌理保存较好 适合古建与文化体验,古村落|文化体验|摄影|低预算,4.3,1,190,1天,春|秋|冬,可与平遥古城串联 当日往返方便,,,https://images.unsplash.com/photo-1482192596544-9eb780fc7f66,true,seed-2026-q1,manual_seed,平遥古城客栈,山西面食馆,古院落|乡村戏台|村口古树
河北井陉于家石头村,河北省,石家庄市,井陉县,于家乡于家村,石头民居特色明显 适合北方周边自驾和文化体验,古村落|自驾|文化体验|摄影,4.4,2,210,1天,春|秋,石家庄周边自驾便利,,,https://images.unsplash.com/photo-1451187580459-43490279c0fa,true,seed-2026-q1,manual_seed,石头村客栈,北方农家饭,石头巷道|古戏楼|民居屋脊
江苏高淳桠溪慢城周边村落,江苏省,南京市,高淳区,桠溪街道,适合南京周边短途自驾 主打慢生活 骑行和田园体验,自驾|亲子|低预算|安静,4.5,2,240,1天,春|秋,南京城区出发适合当日往返,,,https://images.unsplash.com/photo-1493246507139-91e8fad9978e,false,seed-2026-q1,manual_seed,慢城田园民宿,高淳土菜馆,骑行绿道|花海田园|乡村咖啡馆
重庆中益乡华溪村,重庆市,重庆市,石柱土家族自治县,中益乡华溪村,山地乡村景观与土家文化兼具 适合避暑和乡村振兴案例参访,避暑|文化体验|安静|亲子,4.3,1,220,1天,夏|秋,建议自驾前往 适合县域周边串联,,,https://images.unsplash.com/photo-1505761671935-60b3a7427bad,true,seed-2026-q1,manual_seed,土家山居,农家土鸡馆,山地步道|村史馆|田园观景
陕西袁家村,陕西省,咸阳市,礼泉县,烟霞镇袁家村,以关中美食和乡村市集闻名 适合朋友结伴和美食向出游,美食|文化体验|自驾|摄影,4.6,4,260,1天,春|秋|冬,西安周边自驾很方便 适合一日游,34.522,108.368,https://images.unsplash.com/photo-1465146344425-f00d5f5c8f07,false,seed-2026-q1,manual_seed,关中院子民宿,关中小吃街,小吃街|关中民俗体验|夜间灯会
江西景德镇瑶里古镇周边村落,江西省,景德镇市,浮梁县,瑶里镇,适合陶瓷文化和山水古镇结合体验,文化体验|摄影|安静|古村落,4.5,2,280,1-2天,春|秋,建议自驾或景德镇城区出发换乘,,,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,false,seed-2026-q1,manual_seed,瑶里山居民宿,瓷都农家菜,古镇溪流|陶艺体验|山谷步道
甘肃扎尕那业日村,甘肃省,甘南藏族自治州,迭部县,益哇镇业日村,高山村落与草甸景观突出 适合自然风光和自驾露营,自然风光|自驾|摄影|避暑,4.8,3,460,2天,夏|秋,建议自驾或包车进入景区,,,https://images.unsplash.com/photo-1501785888041-af3ef285b470,false,seed-2026-q1,manual_seed,山谷藏式民宿,草原小馆,草甸观景台|石城步道|星空营地
宁夏镇北堡周边葡萄乡村带,宁夏回族自治区,银川市,西夏区,镇北堡镇,适合西北乡村风貌 葡萄酒体验和摄影打卡,摄影|文化体验|自驾|美食,4.3,2,300,1天,夏|秋|冬,银川城区自驾便利,,,https://images.unsplash.com/photo-1494783367193-149034c05e8f,false,seed-2026-q1,manual_seed,葡萄园民宿,贺兰风味馆,葡萄酒庄|西北村景|日落机位
